13.03,1039,8
13.07,1040,11
13.10,1040,11
13.13,1040,11
13.17,1040,11
13.20,1040,11
13.23,1040,11
13.27,1040,11
13.30,1040,11
13.33,1040,11
13.37,801,700
13.40,1040,11
13.43,1040,11
13.47,1040,11
13.50,1044,23
13.53,1040,11
13.57,1040,11
13.60,1040,11
13.63,1040,11
13.67,802,688
13.70,803,688
13.73,803,688
13.77,803,688
13.80,1040,12
13.83,1040,12
13.87,1040,12
13.90,1040,12
13.93,1040,12
13.97,803,688
14.00,1039,10
14.03,803,688
14.07,803,688
14.10,803,688
